,ISOF,ISOF_minmax,ISOF_stand,GMM,GMM_minmax,GMM_stand,BRM_euc,BRM_euc_minmax,BRM_euc_stand,BRM_cos,BRM_cos_minmax,BRM_cos_stand,BRM_man,BRM_man_minmax,BRM_man_stand,ocSVM
dermatology-6,0.7941176470588236,0.7794117647058824,0.7720588235294118,0.8676470588235294,0.948529411764706,0.9301470588235294,0.5147058823529411,0.8051470588235294,0.7904411764705883,0.9669117647058824,0.8897058823529411,0.7536764705882353,0.5661764705882353,0.8125,0.75,0.7720588235294118
glass-0-1-4-6_vs_2,0.6621621621621621,0.8040540540540541,0.6756756756756757,0.6486486486486487,0.8175675675675675,0.7432432432432432,0.6081081081081081,0.7837837837837838,0.5945945945945945,0.6148648648648649,0.8040540540540541,0.6689189189189189,0.6148648648648649,0.7635135135135136,0.5810810810810811,0.8040540540540541
vehicle3,0.6094121955685772,0.6079472624061527,0.5733382164438747,0.5162058231093206,0.6923640358908625,0.5667460172129646,0.6487822743087347,0.6542757736678264,0.5753524995422084,0.5253616553744735,0.5376304706097784,0.5222486724043215,0.6271745101629738,0.6628822559970702,0.5808459989013002,0.6258011353232009
ecoli-0-6-7_vs_3-5,0.87,0.91,0.95,0.97,0.705,0.94,0.98,0.735,0.955,0.875,0.69,0.735,0.99,0.73,0.955,0.97
ecoli3,0.7142857142857143,0.6557377049180328,0.7072599531615925,0.639344262295082,0.6018735362997658,0.8313817330210773,0.5269320843091335,0.5175644028103045,0.5011709601873536,0.7259953161592506,0.8149882903981265,0.5901639344262295,0.5269320843091335,0.5035128805620609,0.550351288056206,0.7142857142857143
yeast3,0.53099173553719,0.5338613406795225,0.5449954086317723,0.5550964187327823,0.5381083562901745,0.6936409550045913,0.5396005509641872,0.5350091827364554,0.5150367309458218,0.6222451790633609,0.5906795224977043,0.5710514233241506,0.526744719926538,0.5486685032139578,0.518595041322314,0.5167584940312213
ecoli4,0.80078125,0.74609375,0.83203125,0.765625,0.71484375,0.859375,0.796875,0.640625,0.8828125,0.66015625,0.5078125,0.7734375,0.8046875,0.62109375,0.8671875,0.6640625
yeast4,0.7310870947234583,0.6621106166560712,0.7415766052129689,0.7323585505403687,0.6719643992371265,0.8019707565162111,0.6830896376350921,0.6923076923076923,0.6897647806738716,0.643674507310871,0.6029879211697393,0.6570247933884298,0.6535282898919262,0.6986649713922441,0.6678321678321678,0.7619198982835347
poker-8-9_vs_5,0.526829268292683,0.526829268292683,0.56,0.5234146341463415,0.5590243902439025,0.5746341463414635,0.744390243902439,0.7,0.7336585365853658,0.5614634146341464,0.5385365853658536,0.5619512195121952,0.7263414634146341,0.7165853658536585,0.6926829268292682,0.7463414634146341
vehicle2,0.6664862914862915,0.5910894660894661,0.63510101010101,0.669011544011544,0.5847763347763348,0.6556637806637807,0.5909090909090909,0.6130952380952381,0.7043650793650794,0.6415945165945166,0.670995670995671,0.6125541125541125,0.597041847041847,0.5202020202020202,0.6836219336219336,0.5945165945165946
iris0,0.74,0.73,0.705,0.89,0.5650000000000001,0.905,0.8250000000000001,0.6799999999999999,0.795,0.59,0.6,0.9600000000000001,0.8150000000000001,0.645,0.815,0.625
glass-0-4_vs_5,0.7352941176470589,0.5294117647058824,0.7058823529411764,0.7941176470588235,0.8823529411764706,0.9411764705882353,0.8529411764705882,0.5588235294117647,0.8529411764705882,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.8823529411764706,0.7352941176470589,0.8823529411764706,0.7058823529411764
abalone-21_vs_8,0.9444444444444444,0.9473684210526315,0.9181286549707602,0.9853801169590644,0.6345029239766082,0.5935672514619883,0.9853801169590642,0.8216374269005848,0.9853801169590642,0.9853801169590644,0.760233918128655,0.8099415204678362,0.9883040935672515,0.9298245614035088,0.9883040935672515,0.8771929824561403
yeast-0-5-6-7-9_vs_4,0.523444976076555,0.523444976076555,0.538755980861244,0.5205741626794258,0.5856459330143541,0.5502392344497609,0.522488038277512,0.5177033492822967,0.5569377990430622,0.5167464114832535,0.6,0.537799043062201,0.5148325358851674,0.5263157894736842,0.5502392344497606,0.539712918660287
yeast5,0.8155864197530864,0.5698302469135803,0.8371913580246914,0.7280092592592593,0.5258487654320988,0.8522376543209876,0.6199845679012346,0.5806327160493827,0.7029320987654322,0.5243055555555556,0.6693672839506173,0.7681327160493827,0.6400462962962963,0.5609567901234568,0.6890432098765432,0.8641975308641976
ecoli2,0.5757575757575758,0.6666666666666667,0.5917065390749601,0.6076555023923444,0.6618819776714513,0.6156299840510366,0.572567783094099,0.7208931419457735,0.6618819776714513,0.6108452950558214,0.7129186602870814,0.6427432216905901,0.6092503987240829,0.7145135566188198,0.6634768740031898,0.5342902711323765
